['0.02:0.08:0.01', '0.01:-0.10:0.00', '0.03:0.02:0.00', '0.01:-0.01:0.01', '0.02:0.04:0.01', '0.00:-0.21:0.01', '0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04']['0:0:1', '1:-2:1']
['0.01:-0.10:0.00', '0.03:0.02:0.00', '0.01:-0.01:0.01', '0.02:0.04:0.01', '0.00:-0.21:0.01', '0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00']['1:-2:1', '1:-1:0']
['0.03:0.02:0.00', '0.01:-0.01:0.01', '0.02:0.04:0.01', '0.00:-0.21:0.01', '0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01']['1:-1:0', '1:-1:2']
['0.01:-0.01:0.01', '0.02:0.04:0.01', '0.00:-0.21:0.01', '0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06']['1:-1:2', '0:2:1']
['0.02:0.04:0.01', '0.00:-0.21:0.01', '0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00']['0:2:1', '1:0:2']
['0.00:-0.21:0.01', '0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02']['1:0:2', '0:1:2']
['0.00:0.12:0.02', '0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01']['0:1:2', '1:1:0']
['0.04:0.08:0.00', '0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00']['1:1:0', '1:1:1']
['0.02:0.01:0.06', '0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00']['1:1:1', '1:2:1']
['0.00:0.04:0.05', '0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13']['1:2:1', '1:1:1']
['0.01:0.05:0.02', '0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13', '0.11:0.24:0.04']['1:1:1', '1:-1:1']
['0.02:-0.12:0.04', '0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13', '0.11:0.24:0.04', '0.01:-0.02:0.04']['1:-1:1', '0:1:0']
['0.02:-0.05:0.05', '0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13', '0.11:0.24:0.04', '0.01:-0.02:0.04', '0.06:-0.20:0.02']['0:1:0', '1:1:0']
['0.01:0.07:0.03', '0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13', '0.11:0.24:0.04', '0.01:-0.02:0.04', '0.06:-0.20:0.02', '0.03:-0.08:0.00']['1:1:0', '1:-1:1']
['0.03:0.00:0.03', '0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13', '0.11:0.24:0.04', '0.01:-0.02:0.04', '0.06:-0.20:0.02', '0.03:-0.08:0.00', '0.02:-0.04:0.09']['1:-1:1', '1:1:0']
['0.03:0.02:0.07', '0.00:-0.20:0.05', '0.00:-0.04:0.14', '0.00:-0.08:0.08', '0.03:-0.05:0.09', '0.02:0.07:0.03', '0.07:0.06:0.00', '0.02:-0.05:0.04', '0.03:-0.02:0.03', '0.01:0.11:0.04', '0.01:-0.08:0.02', '0.12:-0.04:0.00', '0.01:-0.06:0.07', '0.02:-0.43:0.00', '0.00:-0.37:0.00', '0.06:-0.10:0.08', '0.00:-0.25:0.04', '0.01:0.08:0.00', '0.05:-0.03:0.00', '0.01:0.08:0.02', '0.02:0.01:0.03', '0.00:0.17:0.04', '0.00:0.10:0.05', '0.05:-0.05:0.02', '0.07:-0.05:0.02', '0.04:0.05:0.00', '0.03:-0.02:0.08', '0.02:-0.09:0.00', '0.00:-0.05:0.00', '0.04:0.02:0.00', '0.02:0.00:0.04', '0.00:0.09:0.00', '0.02:0.02:0.00', '0.00:-0.02:0.01', '0.00:0.04:0.02', '0.03:-0.02:0.02', '0.00:-0.05:0.04', '0.02:-0.05:0.00', '0.00:-0.05:0.10', '0.00:-0.09:0.00', '0.02:0.01:0.00', '0.00:-0.02:0.00', '0.00:-0.01:0.00', '0.04:0.02:0.00', '0.01:0.02:0.04', '0.01:0.09:0.00', '0.01:0.06:0.01', '0.04:0.00:0.06', '0.02:0.16:0.00', '0.02:0.43:0.02', '0.10:0.24:0.01', '0.00:0.26:0.00', '0.09:-0.04:0.00', '0.00:-0.04:0.13', '0.11:0.24:0.04', '0.01:-0.02:0.04', '0.06:-0.20:0.02', '0.03:-0.08:0.00', '0.02:-0.04:0.09', '0.00:0.28:0.02']['1:1:0', '1:0:1']
