['0.0004:-0.0004:0.0001', '0.0001:0.0006:0.0001', '0.0001:-0.0003:0.0003', '0.0002:0.0001:0.0', '0.0:0.0007:0.0002', '0.0002:0.0008:0.0001', '0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001']['0:1:2', '1:2:1']
['0.0001:0.0006:0.0001', '0.0001:-0.0003:0.0003', '0.0002:0.0001:0.0', '0.0:0.0007:0.0002', '0.0002:0.0008:0.0001', '0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006']['1:2:1', '1:2:1']
['0.0001:-0.0003:0.0003', '0.0002:0.0001:0.0', '0.0:0.0007:0.0002', '0.0002:0.0008:0.0001', '0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007']['1:2:1', '1:1:1']
['0.0002:0.0001:0.0', '0.0:0.0007:0.0002', '0.0002:0.0008:0.0001', '0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005']['1:1:1', '1:1:1']
['0.0:0.0007:0.0002', '0.0002:0.0008:0.0001', '0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002']['1:1:1', '1:-1:0']
['0.0002:0.0008:0.0001', '0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003']['1:-1:0', '1:-1:1']
['0.0004:0.0008:0.0001', '0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001']['1:-1:1', '0:1:1']
['0.0004:-0.0003:0.0001', '0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004']['0:1:1', '1:-1:1']
['0.0004:0.0007:0.0003', '0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004', '0.0002:-0.0001:0.0005']['1:-1:1', '1:1:1']
['0.0004:0.0006:0.0002', '0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004', '0.0002:-0.0001:0.0005', '0.001:-0.0001:0.0001']['1:1:1', '0:-1:1']
['0.0005:0.0003:0.0006', '0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004', '0.0002:-0.0001:0.0005', '0.001:-0.0001:0.0001', '0.0003:-0.001:0.0001']['0:-1:1', '0:-1:1']
['0.0:-0.001:0.0007', '0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004', '0.0002:-0.0001:0.0005', '0.001:-0.0001:0.0001', '0.0003:-0.001:0.0001', '0.0:0.0002:0.0016']['0:-1:1', '1:1:0']
['0.0003:-0.0015:0.0001', '0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004', '0.0002:-0.0001:0.0005', '0.001:-0.0001:0.0001', '0.0003:-0.001:0.0001', '0.0:0.0002:0.0016', '0.0004:0.0018:0.0001']['1:1:0', '1:-1:0']
['0.0002:0.0017:0.0', '0.0005:0.0007:0.0', '0.0:-0.0013:0.0001', '0.0003:0.0006:0.0001', '0.0:0.0003:0.0005', '0.0004:-0.0003:0.0002', '0.0002:-0.0003:0.0', '0.0006:-0.0003:0.0006', '0.0006:0.0003:0.0001', '0.0005:0.001:0.0003', '0.0002:0.0011:0.0007', '0.0018:0.0:0.0002', '0.0004:-0.0007:0.0006', '0.0004:0.0007:0.0003', '0.0:0.0011:0.0004', '0.0003:0.0002:0.0002', '0.0:-0.0002:0.0007', '0.0003:0.0001:0.0002', '0.0004:0.0:0.0004', '0.0001:-0.0005:0.0', '0.0002:0.0:0.0003', '0.0003:0.0002:0.0002', '0.0001:0.0007:0.0001', '0.0004:-0.0001:0.0003', '0.0001:0.001:0.0', '0.0005:0.0003:0.0002', '0.0002:-0.0006:0.0', '0.0003:0.001:0.0001', '0.0001:0.0003:0.0001', '0.0001:-0.0002:0.0005', '0.0002:0.0003:0.0001', '0.0002:0.0:0.0004', '0.0001:-0.0004:0.0001', '0.0001:-0.0002:0.0001', '0.0001:-0.001:0.0', '0.0002:-0.0002:0.0002', '0.0:-0.0011:0.0', '0.0001:-0.0008:0.0004', '0.0005:0.0002:0.0001', '0.0004:-0.0001:0.0002', '0.0001:0.0012:0.0001', '0.0:-0.0008:0.0004', '0.0001:0.0:0.0007', '0.0001:-0.0017:0.0003', '0.0006:0.0003:0.0001', '0.0:-0.0009:0.0001', '0.0006:-0.0003:0.0001', '0.0:-0.0002:0.0006', '0.0001:-0.0015:0.0007', '0.0005:0.0002:0.0005', '0.0001:0.0015:0.0002', '0.0005:0.0:0.0003', '0.0:-0.001:0.0001', '0.0005:0.0:0.0004', '0.0002:-0.0001:0.0005', '0.001:-0.0001:0.0001', '0.0003:-0.001:0.0001', '0.0:0.0002:0.0016', '0.0004:0.0018:0.0001', '0.0004:0.0022:0.0002']['1:-1:0', '1:1:1']
