['0.0002:0.0029:0.001', '0.0:-0.0007:0.002', '0.0004:-0.0005:0.0035', '0.0002:0.0042:0.0002', '0.0015:0.001:0.0009', '0.0015:0.0006:0.0007', '0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016']['1:1:1', '1:1:1']
['0.0:-0.0007:0.002', '0.0004:-0.0005:0.0035', '0.0002:0.0042:0.0002', '0.0015:0.001:0.0009', '0.0015:0.0006:0.0007', '0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011']['1:1:1', '1:3:1']
['0.0004:-0.0005:0.0035', '0.0002:0.0042:0.0002', '0.0015:0.001:0.0009', '0.0015:0.0006:0.0007', '0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004']['1:3:1', '2:3:1']
['0.0002:0.0042:0.0002', '0.0015:0.001:0.0009', '0.0015:0.0006:0.0007', '0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012']['2:3:1', '1:3:1']
['0.0015:0.001:0.0009', '0.0015:0.0006:0.0007', '0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017']['1:3:1', '1:-3:2']
['0.0015:0.0006:0.0007', '0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002']['1:-3:2', '2:2:2']
['0.002:-0.0015:0.0018', '0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007']['2:2:2', '1:3:1']
['0.0:0.0009:0.0017', '0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005']['1:3:1', '1:3:1']
['0.0022:0.0004:0.0005', '0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005']['1:3:1', '1:2:1']
['0.0021:0.0019:0.0006', '0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011']['1:2:1', '2:1:2']
['0.0019:0.0007:0.0', '0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009']['2:1:2', '1:-1:2']
['0.0006:0.0022:0.001', '0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017']['1:-1:2', '1:3:1']
['0.0013:-0.0015:0.0007', '0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012']['1:3:1', '2:3:1']
['0.0007:-0.0038:0.0014', '0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005']['2:3:1', '1:3:2']
['0.0004:-0.002:0.0012', '0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015']['1:3:2', '0:-2:2']
['0.0011:0.0012:0.0002', '0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004']['0:-2:2', '2:2:1']
['0.0006:0.0021:0.0007', '0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003']['2:2:1', '1:-2:1']
['0.0004:0.0028:0.0006', '0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003']['1:-2:1', '2:3:1']
['0.0005:0.0021:0.0006', '0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013']['2:3:1', '1:-3:1']
['0.0007:0.0024:0.0016', '0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008']['1:-3:1', '1:3:2']
['0.0008:-0.002:0.0011', '0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003']['1:3:2', '1:-3:2']
['0.0006:0.0016:0.0004', '0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002']['1:-3:2', '2:-3:1']
['0.0027:0.0001:0.0012', '0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015']['2:-3:1', '1:-3:1']
['0.002:-0.0006:0.0017', '0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017']['1:-3:1', '1:3:1']
['0.0:0.002:0.002', '0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003']['1:3:1', '2:2:2']
['0.0007:0.0022:0.0007', '0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007']['2:2:2', '2:3:2']
['0.0001:-0.0008:0.0005', '0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012']['2:3:2', '1:-3:2']
['0.0014:0.0023:0.0005', '0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044']['1:-3:2', '1:-1:2']
['0.0002:0.0026:0.0011', '0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025']['1:-1:2', '2:2:1']
['0.0004:-0.0044:0.0009', '0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013']['2:2:1', '1:3:2']
['0.0012:-0.0054:0.0017', '0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008']['1:3:2', '2:3:1']
['0.0011:-0.0001:0.0012', '0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015']['2:3:1', '2:-3:2']
['0.0032:-0.0008:0.0005', '0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003']['2:-3:2', '0:3:2']
['0.0008:-0.0012:0.0015', '0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002']['0:3:2', '2:-3:1']
['0.0011:0.003:0.0004', '0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009']['2:-3:1', '1:2:2']
['0.0011:0.0004:0.003', '0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009', '0.0026:0.013:0.0002']['1:2:2', '1:3:1']
['0.0012:0.0009:0.0003', '0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009', '0.0026:0.013:0.0002', '0.0005:-0.0124:0.0005']['1:3:1', '1:-3:1']
['0.0009:0.0007:0.0013', '0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009', '0.0026:0.013:0.0002', '0.0005:-0.0124:0.0005', '0.0014:0.0099:0.002']['1:-3:1', '2:3:1']
['0.0003:0.0056:0.0008', '0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009', '0.0026:0.013:0.0002', '0.0005:-0.0124:0.0005', '0.0014:0.0099:0.002', '0.0008:-0.0038:0.0019']['2:3:1', '1:-3:1']
['0.0015:0.0064:0.0003', '0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009', '0.0026:0.013:0.0002', '0.0005:-0.0124:0.0005', '0.0014:0.0099:0.002', '0.0008:-0.0038:0.0019', '0.0027:-0.0109:0.0009']['1:-3:1', '1:1:2']
['0.0002:0.0042:0.0002', '0.0002:-0.0041:0.0015', '0.0016:0.0019:0.0017', '0.0003:0.0059:0.0003', '0.0002:0.0032:0.0007', '0.0011:0.002:0.0012', '0.0029:0.0002:0.0044', '0.0008:-0.0007:0.0025', '0.0009:0.0068:0.0013', '0.0016:0.0049:0.0008', '0.0013:0.003:0.0015', '0.0001:-0.0015:0.003', '0.0019:0.0029:0.0002', '0.0008:-0.0023:0.0009', '0.0026:0.013:0.0002', '0.0005:-0.0124:0.0005', '0.0014:0.0099:0.002', '0.0008:-0.0038:0.0019', '0.0027:-0.0109:0.0009', '0.0007:-0.0068:0.0011']['1:1:2', '2:1:1']
